CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
4,Angola,AGO,Sub-Saharan Africa,-0.47039473684210514,-0.22297297297297283,-0.3119777158774372
17,Benin,BEN,Sub-Saharan Africa,-0.01973684210526332,0.11261261261261263,-0.18105849582172703
21,Botswana,BWA,Sub-Saharan Africa,0.11184210526315784,0.0,0.21448467966573825
24,Burkina Faso,BFA,Sub-Saharan Africa,-0.03289473684210514,0.09459459459459459,-0.06685236768802225
26,Burundi,BDI,Sub-Saharan Africa,-0.417763157894737,-0.4549549549549549,-0.35933147632311974
28,Cameroon,CMR,Sub-Saharan Africa,-0.39144736842105277,-0.3468468468468469,-0.2618384401114206
30,Cabo Verde,CPV,Sub-Saharan Africa,0.20394736842105265,0.17342342342342354,0.03621169916434552
31,Central African Republic,CAF,Sub-Saharan Africa,-0.4671052631578947,-0.3108108108108108,-0.35376044568245113
32,Chad,TCD,Sub-Saharan Africa,-0.45065789473684215,-0.33333333333333326,-0.33147632311977715
37,"Congo, Democratic Republic of the Congo",COD,Sub-Saharan Africa,-0.4835526315789473,-0.27927927927927915,-0.3203342618384401
40,Côte d'Ivoire,CIV,Sub-Saharan Africa,-0.0789473684210527,0.051801801801801904,0.01671309192200561
156,Eswatini,SWZ,Sub-Saharan Africa,-0.14144736842105254,-0.15315315315315312,-0.19777158774373244
55,Ethiopia,ETH,Sub-Saharan Africa,-0.5197368421052632,-0.4954954954954956,-0.22841225626740935
59,Gabon,GAB,Sub-Saharan Africa,-0.2763157894736842,-0.195945945945946,-0.15320334261838442
60,Gambia,GMB,Sub-Saharan Africa,-0.2927631578947367,-0.5247747747747749,-0.2618384401114206
63,Ghana,GHA,Sub-Saharan Africa,0.036184210526315895,0.07432432432432434,-0.11977715877437319
66,Guinea,GIN,Sub-Saharan Africa,-0.4013157894736841,-0.36036036036036034,-0.16991643454038982
67,Guinea-Bissau,GNB,Sub-Saharan Africa,-0.24999999999999992,-0.015765765765765632,-0.21727019498607236
85,Kenya,KEN,Sub-Saharan Africa,0.006578947368420913,-0.07207207207207195,-0.18662952646239545
94,Lesotho,LSO,Sub-Saharan Africa,-0.09539473684210527,-0.09009009009008997,-0.24233983286908067
95,Liberia,LBR,Sub-Saharan Africa,-0.1578947368421054,-0.18918918918918917,-0.33704735376044553
102,Madagascar,MDG,Sub-Saharan Africa,-0.16776315789473678,-0.10360360360360361,-0.1448467966573815
103,Malawi,MWI,Sub-Saharan Africa,-0.07565789473684224,0.03603603603603607,-0.2896935933147632
106,Mali,MLI,Sub-Saharan Africa,-0.26315789473684204,-0.18468468468468457,-0.10306406685236758
108,Mauritania,MRT,Sub-Saharan Africa,-0.4473684210526317,-0.48198198198198194,-0.16991643454038982
109,Mauritius,MUS,Sub-Saharan Africa,0.22697368421052616,0.0022522522522524045,0.31197771587743744
116,Mozambique,MOZ,Sub-Saharan Africa,-0.194078947368421,-0.018018018018018035,-0.36768802228412245
117,Namibia,NAM,Sub-Saharan Africa,-0.026315789473684233,0.0,-0.08635097493036197
122,Niger,NER,Sub-Saharan Africa,-0.3157894736842105,-0.23648648648648649,-0.2841225626740946
123,Nigeria,NGA,Sub-Saharan Africa,-0.14802631578947373,-0.2409909909909909,-0.12534818941504178
137,Rwanda,RWA,Sub-Saharan Africa,-0.0032894736842104563,-0.13288288288288286,0.25905292479108627
143,Senegal,SEN,Sub-Saharan Africa,-0.08552631578947362,0.0,-0.15320334261838442
145,Seychelles,SYC,Sub-Saharan Africa,0.10855263157894739,0.04279279279279288,-0.011142061281337007
146,Sierra Leone,SLE,Sub-Saharan Africa,-0.2763157894736842,-0.1576576576576577,-0.39832869080779937
151,South Africa,ZAF,Sub-Saharan Africa,0.08223684210526316,0.13063063063063066,-0.09749303621169916
154,Sudan,SDN,Sub-Saharan Africa,-0.825657894736842,-0.6756756756756757,-0.39275766016713076
162,Tanzania,TZA,Sub-Saharan Africa,-0.18750000000000008,-0.27477477477477474,-0.04456824512534803
165,Togo,TGO,Sub-Saharan Africa,-0.1710526315789475,-0.12612612612612606,-0.3203342618384401
171,Uganda,UGA,Sub-Saharan Africa,-0.0723684210526315,-0.2590090090090089,-0.058495821727019344
182,Zambia,ZMB,Sub-Saharan Africa,-0.11184210526315784,-0.18918918918918917,-0.22841225626740935
183,Zimbabwe,ZWE,Sub-Saharan Africa,-0.388157894736842,-0.30630630630630623,-0.596100278551532
